STM0001	thr operon leader peptide
STM1168	DUF480 domain-containing protein
STM1169	virulence factor MviM
STM1170	putative virulence factor
STM1171	flagellar biosynthesis protein FlgN
STM1172	anti-sigma-28 factor FlgM
STM1173	flagella basal body P-ring formation protein FlgA
STM1174	flagellar basal body rod protein FlgB
STM1175	flagellar basal body rod protein FlgC
STM1176	flagellar basal body rod modification protein
STM1177	flagellar hook protein FlgE
STM1178	flagellar biosynthesis protein FlgF
STM1179	flagellar basal-body rod protein FlgG
STM1180	flagellar basal body L-ring protein
STM1181	flagellar biosynthesis protein FlgA
STM1182	flagellar rod assembly protein/muramidase FlgJ
STM1183	flagellar hook-associated protein FlgK
STM1184	flagellar hook-filament junction protein FlgL
STM1185	ribonuclease E
STM1187	23S rRNA pseudouridine(955/2504/2580) synthase
STM1188	putative inner membrane lipoprotein
STM1189	septum formation inhibitor Maf
STM1190	hypothetical protein
STM1191	50S ribosomal protein L32
STM1192	phosphate acyltransferase
STM1193	3-oxoacyl-ACP synthase
STM1194	[acyl-carrier-protein
STM1195	3-oxoacyl-ACP reductase
STM1196	acyl carrier protein
STM1197	beta-ketoacyl-[acyl-carrier-protein
STM1198	aminodeoxychorismate lyase
STM1199	cell division protein YceG
STM1200	dTMP kinase
STM1201	DNA polymerase III subunit delta'
STM1202	putative metal-dependent hydrolase
STM1203	PTS glucose transporter subunit IIBC
STM1204	ferric-rhodotorulic acid/ferric-coprogen receptor FhuE
STM1205	histidine triad nucleotide-binding protein
STM1206	hypothetical protein
STM1207	penicillin-binding protein activator LpoB
STM1208	thiamine kinase
STM1209	beta-N-acetylhexosaminidase
STM1210	hypothetical protein
STM1211	FAD-dependent oxidoreductase
STM1212	hypothetical protein
STM1213	TetR family transcriptional regulator
STM1214	multiple stress resistance protein BhsA
STM1215	L,D-transpeptidase
STM1216	transcription-repair coupling factor
STM1217	integral membrane protein ABC transporter
STM1218	lipoprotein ABC transporter ATP-binding protein LolD
STM1219	lipoprotein transporter subunit LolE
STM1220	N-acetylglucosamine kinase
STM1221	NAD-dependent protein deacylase
STM1222	spermidine/putrescine ABC transporter substrate-binding protein PotD
STM1223	spermidine/putrescine ABC transporter permease PotC
STM1224	effector protein SifA
STM1225	spermidine/putrescine ABC transporter permease PotB
STM1226	spermidine/putrescine transporter
STM1227	aminotripeptidase
STM1228	hypothetical protein
STM1229	50S ribosomal protein L16 arginine hydroxylase
STM1230	sensor protein PhoQ
STM1231	response regulator in two-component regulatory system with PhoQ
STM1232	adenylosuccinate lyase
STM1233	unknown membrane associated protein
STM1234	tRNA 2-thiouridine(34) synthase MnmA
STM1235	NUDIX hydrolase
STM1236	hypothetical protein
STM1237	23S rRNA pseudouridine synthase E
STM1238	NADP-dependent isocitrate dehydrogenase
STM1239	hypothetical protein
STM1240	lipoprotein EnvF
STM1241	DinI family protein
STM1242	lipoprotein EnvE
STM1243	cold-shock protein
STM1244	virulence factor
STM1246	hypothetical protein
STM1249	lysozyme inhibitor
STM1250	putative cytoplasmic protein
STM1251	heat-shock protein
STM1252	hypothetical protein
STM1253	cytochrome b
STM1254	hypothetical protein
STM1255	nickel ABC transporter substrate-binding protein
STM1256	peptide ABC transporter permease
STM1257	peptide ABC transporter permease
STM1258	peptide ABC transporter ATP-binding protein
STM1259	peptide ABC transporter ATP-binding protein
STM1260	mechanosensitive ion channel protein MscS
STM1261	four-helix bundle copper-binding protein
STM1263	putative periplasmic protein
STM1264	aminoglycoside resistance protein
STM1265	putative response regulators
STM1266	putative transcriptional regulator
STM1267	histidine kinase
STM1268	hypothetical protein
STM1269	putative chorismate mutase
STM1270	leucine efflux protein LeuE
STM1271	hypothetical protein
STM1272	DUF1869 domain-containing protein
STM1273	hypothetical protein
STM1274	hypothetical protein
STM1275	hypothetical protein
STM1276	hypothetical protein
STM1277	MarR family transcriptional regulator
STM1278	hypothetical protein
STM1279	AraC family transcriptional regulator
STM1280	hypothetical protein
STM1281	hypothetical protein
STM1282	putative cytoplasmic protein
STM1283	diguanylate cylase
STM1284	hypothetical protein
STM1285	PrkA family serine protein kinase
STM1286	MltA-interacting protein MipA
STM1287	anaerobic sulfatase maturase
STM1288	putative aldehyde reductase
STM1289	D-hexose-6-phosphate mutarotase
STM1290	type I glyceraldehyde-3-phosphate dehydrogenase
STM1291	hypothetical protein
STM1292	hypothetical protein
STM1293	nicotinamidase
STM1294	L-asparaginase 1
STM1295	signal peptide peptidase SppA
STM1296	NAD(P)H nitroreductase
STM1297	selenophosphate synthase
STM1298	DNA topoisomerase III
STM1299	glutamate dehydrogenase
STM1300	hypothetical protein
STM1301	NTP pyrophosphohydrolase
STM1302	exodeoxyribonuclease III
STM1303	aspartate aminotransferase family protein
STM1304	arginine N-succinyltransferase
STM1305	succinylglutamate-semialdehyde dehydrogenase
STM1306	N-succinylarginine dihydrolase
STM1307	succinylglutamate desuccinylase
STM1308	ATP-independent periplasmic protein-refolding chaperone
STM1309	putative nuclease subunit of the excinuclease complex
STM1310	NAD(+) synthase
STM1311	transcriptional regulator
STM1312	PTS sugar transporter subunit IIB
STM1313	PTS N,N'-diacetylchitobiose transporter subunit IIC
STM1314	PTS N N'-diacetylchitobiose transporter subunit IIA
STM1315	transcriptional repressor of cel operon
STM1316	6-phospho-beta-glucosidase
STM1317	carbohydrate deacetylase
STM1318	catalase HPII
STM1319	cell division modulator
STM1320	L-cystine transporter
STM1321	LexA regulated gene
STM1322	2-deoxyglucose-6-phosphatase
STM1323	hypothetical protein
STM1324	hypothetical protein
STM1325	hypothetical protein
STM1326	6-phosphofructokinase II
STM1327	hypothetical protein
STM1328	hypothetical protein
STM1329	hypothetical protein
STM1330	endonuclease
STM1331	hypothetical protein
STM1332	polymerase
STM1333	threonine--tRNA ligase
STM1334	protein chain initiation factor IF-3
STM1335	50S ribosomal protein L35
STM1336	50S ribosomal protein L20
STM1337	phenylalanine--tRNA ligase subunit alpha
STM1338	phenylalanine--tRNA ligase subunit beta
STM1339	integration host factor subunit alpha
STM1340	vitamin B12 ABC transporter permease BtuC
STM1341	glutathione peroxidase
STM1342	vitamin B12 ABC transporter ATP-binding protein BtuD
STM1343	endopeptidase
STM1344	EAL domain-containing protein
STM1345	hypothetical protein
STM1346	hemin uptake protein hemP
STM1347	3-deoxy-7-phosphoheptulonate synthase
STM1348	phosphoenolpyruvate synthase regulatory protein
STM1349	phosphoenolpyruvate synthase
STM1350	cyclohexanecarboxylate-CoA ligase
STM1351	ferredoxin family protein
STM1352	oxidoreductase
STM1353	electron transfer flavoprotein subunit alpha
STM1354	putative electron transfer flavoprotein
STM1355	AraC family transcriptional regulator
STM1356	putative acyl-CoA dehydrogenase
STM1357	putative acetyl-CoA:acetoacetyl-CoA transferase beta subunit
STM1358	3-dehydroquinate dehydratase
STM1359	quinate/shikimate dehydrogenase
STM1360	MFS transporter
STM1361	MFS transporter
STM1362	putative cytoplasmic protein
STM1364	hypothetical protein
STM1365	hypothetical protein
STM1366	thioesterase
STM1367	putative cytoplasmic protein
STM1368	L-cystine transporter
STM1369	Fe-S cluster assembly scaffold SufA
STM1370	Fe-S cluster assembly protein SufB
STM1371	Fe-S cluster assembly ATPase SufC
STM1372	FeS cluster assembly protein SufD
STM1373	bifunctional cysteine desulfurase/selenocysteine lyase
STM1374	cysteine desufuration protein SufE
STM1375	murein L,D-transpeptidase
STM1376	hypothetical protein
STM1377	murein lipoprotein
STM1378	pyruvate kinase
STM1379	putative amino acid permease
STM1380	hydrolase
STM1381	hypothetical protein
STM1382	hypothetical protein
STM1383	tetrathionate reductase subunit A
STM1384	tetrathionate reductase subunit C
STM1385	tetrathionate reductase complex, subunit B
STM1386	tetrathionate reductase complex: sensory transduction histidine kinase
STM1387	DNA-binding response regulator
STM1388	hypothetical protein
STM1389	hypothetical protein
STM1390	helix-turn-helix-type transcriptional regulator
STM1391	DNA-binding response regulator
STM1392	hybrid sensor histidine kinase/response regulator
STM1393	pathogenicity island chaperone protein SpiC
STM1394	EscC/YscC/HrcC family type III secretion system outer membrane ring protein
STM1395	EscD/YscD/HrpQ family type III secretion system inner membrane ring protein
STM1396	EscE/YscE/SsaE family type III secretion system needle protein co-chaperone
STM1397	type III secretion system chaperone SseA
STM1398	pathogenicity island 2 effector protein SseB
STM1399	CesD/SycD/LcrH family type III secretion system chaperone
STM1400	pathogenicity island 2 effector protein SseC
STM1401	pathogenicity island 2 effector protein SseD
STM1402	pathogenicity island 2 effector protein SseE
STM1403	CesD/SycD/LcrH family type III secretion system chaperone
STM1404	pathogenicity island 2 effector protein SseF
STM1405	pathogenicity island 2 effector protein SseG
STM1406	secretion system apparatus
STM1407	secretion system apparatus
STM1408	EscI/YscI/HrpB family type III secretion system inner rod protein
STM1409	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
STM1410	hypothetical protein
STM1411	type III secretion system protein SsaK
STM1412	secretion system apparatus protein
STM1413	type III secretion system protein SsaM
STM1414	EscV/YscV/HrcV family type III secretion system export apparatus protein
STM1415	EscN/YscN/HrcN family type III secretion system ATPase
STM1416	type III secretion system protein SsaO
STM1417	type III secretion system protein SsaP
STM1418	type III secretion system protein SsaQ
STM1419	EscR/YscR/HrcR family type III secretion system export apparatus protein
STM1420	EscS/YscS/HrcS family type III secretion system export apparatus protein
STM1421	EscT/YscT/HrcT family type III secretion system export apparatus protein
STM1422	EscU/YscU/HrcU family type III secretion system export apparatus switch protein
STM1425	MATE family efflux transporter
STM1426	riboflavin synthase subunit alpha
STM1427	cyclopropane-fatty-acyl-phospholipid synthase
STM1428	Bcr/CflA family multidrug efflux transporter
STM1429	putative LysR family transcriptional regulator
STM1430	transcriptional repressor
STM1431	superoxide dismutase
STM1432	putative cell wall-associated hydrolase
STM1433	Grx4 family monothiol glutaredoxin
STM1434	ribonuclease T
STM1435	lactoylglutathione lyase
STM1436	N-ethylmaleimide reductase
STM1437	TetR family transcriptional regulator
STM1438	DUF1289 domain-containing protein
STM1439	oxidoreductase
STM1440	superoxide dismutase
STM1441	fusaric acid resistance protein
STM1442	putative multidrug resistance efflux pump
STM1443	hypothetical protein
STM1444	MarR family transcriptional regulator for hemolysin
STM1445	hypothetical protein
STM1446	anhydro-N-acetylmuramic acid kinase
STM1447	lysozyme inhibitor
STM1448	pyridoxamine 5'-phosphate oxidase
STM1449	tyrosine--tRNA ligase
STM1450	pyridoxal kinase
STM1451	glutathione transferase GstA
STM1452	dipeptide/tripeptide permease A
STM1453	DNA glycosylase/apyrimidinic (AP) lyase
STM1454	electron transport complex subunit RsxE
STM1455	electron transport complex subunit RsxG
STM1456	electron transport complex subunit RsxD
STM1457	electron transport complex subunit RsxC
STM1458	electron transport complex subunit RsxB
STM1459	electron transport complex subunit RsxA
STM1460	hypothetical protein
STM1461	oriC-binding nucleoid-associated protein
STM1462	putative oxidoreductase
STM1463	adenosine deaminase
STM1466	hypothetical protein
STM1467	mannose-6-phosphate isomerase
STM1468	fumarate hydratase
STM1469	class II fumarate hydratase
STM1470	DNA replication terminus site-binding protein
STM1471	two-component system sensor histidine kinase RstB
STM1472	putative periplasmic protein
STM1473	hypothetical protein
STM1475	two-component system response regulator RstA
STM1476	hypothetical protein
STM1477	putative amino acid transporter
STM1478	hypothetical protein
STM1479	NAD(P) transhydrogenase subunit alpha
STM1480	NAD(P) transhydrogenase subunit beta
STM1481	pheromone autoinducer 2 transporter
STM1482	multidrug transporter subunit MdtJ
STM1483	multidrug transporter subunit MdtI
STM1484	serine protease
STM1485	acid shock protein
STM1486	hypothetical protein
STM1487	putative LysR family transcriptional regulator
STM1488	transcriptional regulator
STM1489	putative dethiobiotin synthase
STM1490	voltage-gated ClC-type chloride channel ClcB
STM1491	glycine/betaine ABC transporter ATP-binding protein
STM1492	choline ABC transporter permease
STM1493	glycine/betaine ABC transporter substrate-binding protein
STM1494	glycine/betaine ABC transporter permease
STM1495	DMSO reductase maturation protein DsmD
STM1496	putative dimethylsulfoxide reductase
STM1497	dimethylsulfoxide reductase, chain B
STM1498	dimethyl sulfoxide reductase subunit A
STM1499	putative dimethyl sulphoxide reductase, chain A1
STM1500	putative outer membrane protein
STM1501	putative inner membrane lipoprotein
STM1502	spermidine acetyltransferase
STM1503	hypothetical protein
STM1504	hypothetical protein
STM1505	bifunctional D-altronate/D-mannonate dehydratase
STM1506	Zn-dependent oxidoreductase
STM1507	putative transport protein
STM1508	D-mannonate oxidoreductase
STM1509	selenoprotein YdfZ
STM1510	GntR family transcriptional regulator
STM1511	NADP-dependent 3-hydroxy acid dehydrogenase
STM1512	dipeptidyl carboxypeptidase II
STM1513	stress-induced acidophilic repeat motif-containing protein
STM1514	competence protein ComA
STM1515	TIGR00156 family protein
STM1516	transporter
STM1517	putative permease, integral membrane protein
STM1518	multiple antibiotic resistance regulatory periplasmic protein MarB
STM1519	AraC/XylS family transcriptional activator of defense systems
STM1520	transcriptional regulator
STM1521	stress protection protein MarC
STM1522	sugar transporter
STM1523	putative LysR family transcriptional regulator
STM1524	putative succinate-semialdehyde dehydrogenase
STM1525	putative glutaminase
STM1526	DUF4186 domain-containing protein
STM1527	putative inner membrane protein
STM1528	DUF4440 domain-containing protein
STM1529	putative inner membrane protein
STM1530	phosphoporin PhoE
STM1531	hydrogenase maturation nickel metallochaperone HypA
STM1532	ATP/GTP-binding protein
STM1533	hydrogenase-1 operon protein HyaF2
STM1534	putative hydrogenase
STM1535	hydrogenase formation protein
STM1536	hydrogenase expression/formation protein
STM1537	Ni/Fe-hydrogenase, b-type cytochrome subunit
STM1538	putative hydrogenase-1 large subunit
STM1539	putative hydrogenase-1 small subunit
STM1540	putative hydrolase
STM1541	putative gntR family regulatory protein
STM1542	alcohol dehydrogenase
STM1543	MFS transporter
STM1544	PhoPQ-regulated protein
STM1545	MFS transporter
STM1546	hypothetical protein
STM1547	MarR family transcriptional regulator
STM1548	putative S-adenosylmethionine:tRNA-ribosyltransferase-isomerase
STM1549	hypothetical protein
STM1550	addiction module toxin RelE
STM1551	plasmid stabilization protein
STM1552	putative cytoplasmic protein
STM1554	putative coiled-coil protein
STM1555	putative transcriptional regulator
STM1556	Na+/H+ antiporter NhaC
STM1557	putative aminotransferase
STM1558	glycogen debranching enzyme GlgX
STM1559	malto-oligosyltrehalose synthase
STM1560	malto-oligosyltrehalose trehalohydrolase
STM1561	hypothetical protein
STM1562	acid-resistance protein
STM1563	OsmC family peroxiredoxin
STM1564	biofilm-dependent modulation protein
STM1565	30S ribosomal subunit S22
STM1566	NAD-dependent malic enzyme
STM1567	alcohol dehydrogenase AdhP
STM1568	formate dehydrogenase subunit gamma
STM1569	formate dehydrogenase subunit beta
STM1570	putative molybdopterin oxidoreductases
STM1571	putative permease
STM1572	phosphoporin PhoE
STM1573	putative cytoplasmic protein
STM1574	MFS transporter
STM1575	TetR family transcriptional regulator
STM1576	nitrate/nitrite transporter NarU
STM1577	nitrate reductase subunit alpha
STM1578	nitrate reductase subunit beta
STM1579	nitrate reductase molybdenum cofactor assembly chaperone
STM1580	respiratory nitrate reductase subunit gamma
STM1581	hypothetical protein
STM1582	N-hydroxyarylamine O-acetyltransferase
STM1583	effector protein steA
STM1584	amino acid permease
STM1585	DUF903 domain-containing protein
STM1586	hypothetical protein
STM1587	TonB-dependent receptor
STM1588	colanic acid/biofilm transcriptional regulator
STM1589	putative NADP-dependent oxidoreductase
STM1590	GNAT family N-acetyltransferase
STM1591	hypothetical protein
STM1592	hypothetical protein
STM1593	ssrAB-activated protein
STM1594	virulence factor SrfB
STM1595	virulence factor SrfC
STM1596	putative inner membrane protein
STM1597	putative aldehyde dehydrogenase
STM1598	GntR family transcriptional regulator
STM1599	D-alanyl-D-alanine dipeptidase
STM1600	hypothetical protein
STM1601	D-alanyl-D-alanine dipeptidase
STM1602	effector protein SifB
STM1603	hypothetical protein
STM1604	protease
STM1605	XRE family transcriptional regulator
STM1606	benzoate transporter
STM1607	hypothetical protein
STM1608	tellurite resistance methyltransferase TehB
STM1609	dicarboxylate transporter/tellurite-resistance protein TehA
STM1610	hypothetical protein
STM1611	ribosomal protein L7/L12-serine acetyltransferase
STM1612	aminopeptidase
STM1613	PTS sugar transporter subunit IIB
STM1614	PTS sugar transporter subunit IIC
STM1615	hypothetical protein
STM1616	PTS sugar transporter subunit IIA
STM1617	epimerase
STM1618	transcriptional regulator
STM1619	aminoglycoside 6'-acetyltransferase
STM1620	lactate oxidase
STM1621	putative periplasmic protein
STM1622	glucan biosynthesis protein D
STM1623	putative carboxylesterase
STM1624	DUF1338 domain-containing protein
STM1625	putative LysR family transcriptional regulator
STM1626	methyl-accepting chemotaxis protein
STM1627	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
STM1628	hypothetical protein
STM1629	putative dipicolinate reductase
STM1630	hypothetical protein
STM1631	pathogenicity island 2 effector protein SseJ
STM1632	cyanate transporter
STM1633	amino acid-binding protein
STM1634	amino acid ABC transporter ATP-binding protein
STM1635	amino acid ABC transporter ATP-binding protein
STM1636	amino acid ABC transporter permease
STM1637	hypothetical protein
STM1638	putative SAM-dependent methyltransferase
STM1639	cytochrome B
STM1640	hypothetical protein
STM1641	ATP-dependent RNA helicase HrpA
STM1642	FMN-dependent NADH-azoreductase
STM1643	aldehyde-activating protein
STM1644	hypothetical protein
STM1645	YnbE family lipoprotein
STM1646	hypothetical protein
STM1647	2-hydroxyacid dehydrogenase
STM1648	heat shock protein hslJ
STM1649	putative cytoplasmic protein
STM1650	putative reverse transcriptase
STM1651	putative pyruvate-flavodoxin oxidoreductase
STM1652	universal stress protein F
STM1653	cation transporter
STM1654	tRNA 2-thiocytidine(32) synthetase TtcA
STM1655	ATP-dependent RNA helicase DbpA
STM1656	zinc transporter ZntB
STM1657	chemoreceptor protein
STM1658	DNA endonuclease
STM1659	methylated-DNA--protein-cysteine methyltransferase
STM1660	transcriptional regulator
STM1661	universal stress protein UspE
STM1662	hypothetical protein
STM1663	mechanosensitive ion channel protein MscS
STM1664	XRE family transcriptional regulator
STM1665	hypothetical protein
STM1667	putative thiol peroxidase
STM1668	putative outer membrane or exported protein
STM1669	invasin
STM1670	hypothetical protein
STM1671	putative bacterial regulatory helix-turn-helix protein, araC family
STM1672	hypothetical protein
STM1673	putative outer membrane lipoprotein
STM1674	TetR family transcriptional regulator
STM1675	oxidoreductase
STM1676	aldo/keto reductase
STM1677	putative LysR family transcriptional regulator
STM1678	aromatic alcohol reductase
STM1679	oligopeptide ABC transporter substrate-binding protein OppA
STM1680	murein peptide amidase A
STM1681	L-Ala-D/L-Glu epimerase
STM1682	lipid hydroperoxide peroxidase
STM1683	DNA-binding transcriptional regulator TyrR
STM1684	TIGR01620 family protein
STM1685	putative ATPase
STM1686	thiosulfate sulfurtransferase PspE
STM1687	phage shock protein D
STM1688	DNA-binding transcriptional activator PspC
STM1689	phage shock protein B
STM1690	phage shock protein PspA
STM1691	phage shock protein operon transcriptional activator
STM1692	peptide ABC transporter substrate-binding protein SapA
STM1693	antimicrobial peptide ABC transporter permease SapB
STM1694	antimicrobial peptide ABC transporter permease SapC
STM1695	peptide ABC transporter ATP-binding protein
STM1696	peptide ABC transporter ATP-binding protein
STM1697	putative diguanylate cyclase/phosphodiesterase domain 2
STM1698	secreted effector kinase SteC
STM1698A	hypothetical protein
STM1699	putative cytoplasmic protein
STM1700	enoyl-[acyl-carrier-protein
STM1701	putative cytoplasmic protein
STM1702	exoribonuclease II
STM1703	putative PAS/PAC domain protein
STM1704	DeoR family transcriptional regulator
STM1705	osmotically inducible lipoprotein
STM1706	translation initiation factor
STM1707	orotidine-5'-phosphate decarboxylase
STM1708	lipopolysaccharide assembly protein LapB
STM1709	hypothetical protein
STM1710	phosphatidylglycerophosphatase B
STM1711	GTP cyclohydrolase II
STM1712	aconitate hydratase 1
STM1713	transcriptional regulator CysB
STM1714	DNA topoisomerase I
STM1715	hypothetical protein
STM1716	protease SohB
STM1717	YciK family oxidoreductase
STM1718	cob(I)yrinic acid a,c-diamide adenosyltransferase
STM1719	23S rRNA pseudouridylate synthase
STM1720	hypothetical protein
STM1721	phosphatase
STM1722	trp operon leader peptide
STM1723	anthranilate synthase subunit I
STM1724	bifunctional glutamine amidotransferase/anthranilate phosphoribosyltransferase
STM1725	bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
STM1726	tryptophan synthase subunit beta
STM1727	tryptophan synthase subunit alpha
STM1728	hypothetical protein
STM1729	hypothetical protein
STM1730	hypothetical protein
STM1731	Mn-containing catalase
STM1732	outer membrane protein OmpW
STM1733	hypothetical protein
STM1734	hypothetical protein
STM1735	septation protein A
STM1736	acyl-CoA esterase
STM1737	transporter TonB
STM1738	hypothetical protein
STM1739	cardiolipin synthase
STM1740	dsDNA-mimic protein
STM1741	transporter
STM1742	oligopeptide ABC transporter ATP-binding protein OppF
STM1743	oligopeptide ABC transporter ATP-binding protein OppD
STM1744	peptide ABC transporter permease
STM1745	oligopeptide transporter permease
STM1746	oligopeptide transport protein with chaperone properties
STM1747	hypothetical protein
STM1748	hypothetical protein
STM1749	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
STM1750	thymidine kinase
STM1751	transcriptional regulator
STM1752	UTP--glucose-1-phosphate uridylyltransferase
STM1753	two-component system response regulator RssB
STM1754	hypothetical protein
STM1755	hypothetical protein
STM1756	formyltetrahydrofolate deformylase
STM1760	hypothetical protein
STM1761	respiratory nitrate reductase subunit gamma
STM1762	nitrate reductase molybdenum cofactor assembly chaperone
STM1763	nitrate reductase subunit beta
STM1764	nitrate reductase subunit alpha
STM1765	nitrate/nitrite transporter
STM1766	two-component system sensor histidine kinase NarX
STM1767	two-component system response regulator NarL
STM1768	putative invasin
STM1769	hypothetical protein
STM1770	cation transport regulator
STM1771	sodium-potassium/proton antiporter ChaA
STM1772	3-deoxy-8-phosphooctulonate synthase
STM1773	hypothetical protein
STM1774	hypothetical protein
STM1775	release factor-specific protein-(glutamine-N5) methyltransferase
STM1776	peptide chain release factor 1
STM1777	glutamyl-tRNA reductase
STM1778	lipoprotein localization factor LolB
STM1779	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
STM1780	ribose-phosphate pyrophosphokinase
STM1781	putative SulP family transport protein
STM1782	hypothetical protein
STM1783	peptidyl-tRNA hydrolase
STM1784	redox-regulated ATPase YchF
STM1785	hypothetical protein
STM1786	[Ni/Fe
STM1787	[Ni/Fe
STM1788	Ni/Fe-hydrogenase b-type cytochrome subunit
STM1789	hydrogenase expression/formation protein
STM1790	hydrogenase-1 operon protein HyaE
STM1791	hydrogenase expression/formation protein
STM1792	cytochrome d terminal oxidase subunit I
STM1793	cytochrome d ubiquinol oxidase subunit II
STM1794	YbgT family membrane protein
STM1795	putative homolog of glutamic dehydrogenase
STM1796	alpha,alpha-trehalase
STM1797	hypothetical protein
STM1798	flagellar brake protein
STM1799	lytic murein transglycosylase
STM1800	muramoyltetrapeptide carboxypeptidase
STM1801	K+/H+ antiporter
STM1802	alanine racemase
STM1803	D-amino acid dehydrogenase small subunit
STM1804	SpoVR family protein
STM1805	fatty acid metabolism regulator
STM1806	Na+/H+ antiporter NhaB
STM1807	disulfide bond formation protein B
STM1808	hypothetical protein
STM1809	GnsA/GnsB family toxin
STM1810	hypothetical protein
STM1811	putative cytoplasmic protein
STM1812	isomerase/hydrolase
STM1813	putative cytoplasmic protein
STM1814	septum site-determining protein MinC
STM1815	septum site-determining protein MinD
STM1816	cell division topological specificity factor MinE
STM1817	RNase D
STM1818	long-chain-fatty-acid--CoA ligase
STM1819	hypothetical protein
STM1820	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
STM1821	ATP-dependent helicase
STM1822	hypothetical protein
STM1823	hypothetical protein
STM1824	p-aminobenzoate synthetase, component I
STM1825	CoA pyrophosphatase
STM1826	L-serine ammonia-lyase
STM1827	putative diguanylate cyclase/phosphodiesterase
STM1828	hypothetical protein
STM1829	putative cytoplasmic protein
STM1830	PTS mannose transporter subunit IIAB
STM1831	PTS mannose/fructose/sorbose transporter subunit IIC
STM1832	mannose-specific enzyme IID
STM1833	hypothetical protein
STM1834	putative YebN family transport protein
STM1835	23S rRNA (guanine(745)-N(1))-methyltransferase
STM1836	peptidoglycan synthase
STM1837	cold-shock protein
STM1838	DUF2627 domain-containing protein
STM1839	hypothetical protein
STM1840	PhoP regulon feedback inhibition protein MgrB
STM1841	hypothetical protein
STM1842	DNA-binding transcriptional regulator KdgR
STM1843	MFS transporter
STM1844	zinc metalloprotease HtpX
STM1845	C-terminal processing peptidase
STM1846	RNA chaperone ProQ
STM1847	putative GAF domain-containing protein
STM1848	hypothetical protein
STM1849	putative inner membrane protein
STM1850	16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF
STM1851	hypothetical protein
STM1852	hypothetical protein
STM1853	serine/threonine-protein phosphatase
STM1854	hypothetical protein
STM1855	type III secretion protein SopE2
STM1856	hypothetical protein
STM1857	N-acetyltransferase
STM1858	putative cytoplasmic protein
STM1859	hypothetical protein
STM1860	putative transposase
STM1861	integrase
STM1862	EamA family transporter
STM1863	putative inner membrane protein
STM1864	disulfide bond formation protein B
STM1865	putative cytoplasmic protein
STM1867	phage virulence factor
STM1868	phage tail protein
STM1868A	lytic enzyme
STM1869	hypothetical protein
STM1869A	hypothetical protein
STM1870	recE-like protein
STM1871	putative phage integrase protein
STM1872	putative cytoplasmic protein
STM1873	hypothetical protein
STM1874	putative inner membrane protein
STM1875	hypothetical protein
STM1876	DNA polymerase III subunit theta
STM1877	carbon-nitrogen hydrolase
STM1878	exodeoxyribonuclease X
STM1879	oligopeptidase B
STM1880	hypothetical protein
STM1881	hypothetical protein
STM1882	damage-inducible protein YebG
STM1883	phosphoribosylglycinamide formyltransferase 2
STM1884	keto-deoxy-phosphogluconate aldolase
STM1885	phosphogluconate dehydratase
STM1886	glucose-6-phosphate dehydrogenase
STM1887	transcriptional regulator HexR
STM1888	pyruvate kinase
STM1889	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
STM1890	murein DD-endopeptidase MepM
STM1891	ABC superfamily high affinity Zn transport protein
STM1892	ABC superfamily high affinity Zn transport protein
STM1893	zinc ABC transporter permease
STM1894	Holliday junction DNA helicase RuvB
STM1895	Holliday junction DNA helicase RuvA
STM1896	putative cytoplasmic protein
STM1897	hypothetical protein
STM1898	crossover junction endodeoxyribonuclease RuvC
STM1899	hypothetical protein
STM1900	dihydroneopterin triphosphate diphosphatase
STM1901	aspartate--tRNA ligase
STM1902	hydrolase
STM1903	hypothetical protein
STM1904	hypothetical protein
STM1905	carboxy-S-adenosyl-L-methionine synthase CmoA
STM1906	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
STM1907	copper homeostasis protein CutC
STM1908	metalloprotein
STM1909	arginine--tRNA ligase
STM1910	penicillin-binding protein 2
STM1911	glycoside hydrolase 105 family protein
STM1912	flagellar protein FlhE
STM1913	flagellar biosynthesis protein FlhA
STM1914	flagellar biosynthesis protein FlhB
STM1915	protein phosphatase CheZ
STM1916	two-component system response regulator
STM1917	chemotaxis response regulator protein-glutamate methylesterase
STM1918	chemotaxis protein-glutamate O-methyltransferase
STM1919	methyl-accepting chemotaxis protein II
STM1920	chemotaxis protein CheW
STM1921	sensory histitine protein kinase
STM1922	flagellar motor protein MotB
STM1923	flagellar motor stator protein MotA
STM1924	regulator of flagellar biosynthesis
STM1925	regulator of flagellar biosynthesis
STM1926	hypothetical protein
STM1927	universal stress protein UspC
STM1928	alpha,alpha-trehalose-phosphate synthase
STM1929	trehalose-phosphatase
STM1931	DJ-1 family protein
STM1932	ferritin
STM1933	hypothetical protein
STM1934	hypothetical protein
STM1935	ferritin
STM1936	hypothetical protein
STM1937	tyrosine transporter TyrP
STM1938	hypothetical protein
